Model,Avg_PSNR,Avg_SSIM,Avg_MAE,Avg_LPIPS_ALEX,Avg_LPIPS_VGG,Num_Images_Avg
SPANX4_CH52,41.17056607212197,0.9767258719946124,0.004209187484737139,0.08112761611828041,0.17066816293497375,591
SPANX4_CH48,41.14506483495152,0.9766785045565688,0.0042142154134387644,0.08132583381964269,0.17009474489642482,591
LANCZOS,38.63854524680245,0.9657936244446614,0.005665496398668024,0.12595758533228169,0.1842422850946888,591
BICUBIC,38.361470068867355,0.9646908421000047,0.005759481937693851,0.12851965742882235,0.18912508866912014,591
BILINEAR,37.582847149253425,0.96057789660549,0.006250716220704104,0.13839394005106892,0.19922596366221934,591
