Model,Avg_PSNR,Avg_SSIM,Avg_LPIPS_ALEX,Avg_LPIPS_VGG,Num_Images_Avg
THERA_RDN-PRO,44.62197001609885,0.9839634094919477,0.04953118152916432,0.1341793070946421,35
THERA_EDSR-PRO,44.495652926465986,0.9835953303745815,0.049164353417498724,0.13390670035566601,35
THERA_EDSR-PLUS,44.484056620264894,0.9836344633783612,0.05023174504084246,0.13265393248626164,35
THERA_RDN-PLUS,44.44664142838,0.9833115117890494,0.05046227140618222,0.13481599198920385,35
SPANX4_CH52,44.40743658247443,0.9833062154906137,0.05001083639051233,0.13716795401913778,35
THERA_EDSR-AIR,44.39092774459004,0.9833971585546221,0.05072738552199943,0.13280998766422272,35
THERA_RDN-AIR,44.381972962896285,0.9829817857061114,0.050830440888447424,0.13423791442598615,35
LANCZOS,42.44872058945873,0.977323305606842,0.0764066956937313,0.14657882217850005,35
BICUBIC,41.996012265894315,0.9764016747474671,0.07821725495159626,0.15055339591843742,35
